window_start,num_ann,num_wd,num_ann_prefixes,num_wd_prefixes,avg_path_len,max_path_len,avg_unique_path,num_dup_ann,num_dup_wd,num_imp_wd,avg_edit_dist,max_edit_dist,avg_iat,as_len_eq_7,as_len_eq_8,as_len_eq_9,as_len_eq_10,as_len_eq_11,as_len_eq_12,as_len_eq_13,as_len_eq_14,as_len_eq_15,as_len_eq_16,as_len_eq_17,max_len_eq_7,max_len_eq_8,max_len_eq_9,max_len_eq_10,max_len_eq_11,max_len_eq_12,max_len_eq_13,max_len_eq_14,max_len_eq_15,num_igp,num_egp,num_incomplete,avg_packet_size,label
35,3212,3,506,2,5.6469673405909795,17,4.587869362363919,1005,1,0,11.516179215930306,91,0.009023024268823895,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,2621,6,480,2,5.3018652455272175,16,4.542443852303007,734,4,0,11.344249809596345,86,0.011043412033511044,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,1711,2,354,2,5.287799182720374,15,4.575014594279042,585,0,0,12.522196261682243,75,0.016939252336448597,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
38,1823,2,326,2,5.215342465753425,16,4.546849315068493,518,0,0,13.451754385964913,79,0.015899122807017545,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,1939,2,558,2,5.141679546625451,15,4.498712004121587,596,0,0,11.813917525773196,61,0.014948453608247423,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
40,1589,7,432,2,5.1948621553884715,14,4.525689223057644,613,5,0,13.327899686520377,69,0.01818181818181818,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
41,23,0,12,0,7.043478260869565,12,4.043478260869565,8,0,0,18.681818181818183,52,0.0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
42,1973,2,383,2,5.550886075949367,22,4.891139240506329,622,0,0,13.30952380952381,119,0.014690982776089158,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
43,1817,4,382,2,5.741350906095552,22,4.9555189456342665,488,2,0,14.626923076923077,125,0.015934065934065933,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,1642,2,328,2,5.605231143552311,20,4.940389294403893,659,0,0,14.25989044430919,117,0.017650639074863056,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
45,1580,5,305,2,5.577287066246057,20,4.978548895899054,566,3,0,14.640151515151516,120,0.018308080808080808,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,1591,2,269,2,5.060891399874451,21,4.637790332705587,672,0,0,12.551507537688442,112,0.01821608040201005,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
47,2402,5,346,2,5.394266722060657,17,4.857914416285833,1010,3,0,13.79592684954281,84,0.012053200332502078,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
48,1982,2,548,2,5.462701612903226,20,4.795866935483871,630,0,0,13.56127080181543,111,0.014624306606152295,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,2543,4,381,2,5.361994503337259,22,4.780918727915195,630,2,0,12.116653574234093,132,0.011390416339355853,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,3140,2,1032,2,5.5362826225334185,16,4.7982176957352,542,0,0,7.9207258834765994,87,0.009232728430436167,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,1646,5,446,2,4.907934585099939,19,4.5402786190187765,382,3,0,10.677575757575758,111,0.017575757575757574,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
52,9,0,9,0,5.666666666666667,7,5.111111111111111,0,0,0,17.125,26,0.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2052,2,394,2,5.316942551119766,14,4.633885102239533,894,0,0,13.550414028251339,74,0.01412566975158305,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
54,1668,4,298,2,5.213516746411483,14,4.413875598086125,744,2,0,13.112507480550569,67,0.017354877318970677,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
55,1738,5,350,2,5.064830751577739,13,4.515203671830178,787,3,0,12.121125143513202,64,0.016647531572904706,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
56,1848,2,373,2,5.107027027027027,11,4.493513513513514,719,0,0,11.048134126554894,54,0.01568415359653867,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
57,1875,3,297,2,5.1815761448349305,12,4.5111821086261985,742,1,0,10.613212573255195,60,0.015450186467767715,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
